country_id,country,year,tourist_arrivals_thousands,tourism_receipts_billion_usd,tourism_receipts_per_arrival_usd,cultural_goods_exports_million_usd,music_exports_million_usd,unesco_world_heritage_sites,unesco_intangible_heritage_items,gdp_billion_usd,gdp_per_capita_usd,exchange_rate_lcu_usd,cpi_2010_100,fdi_inflow_billion_usd,hotel_rooms_thousand,broadband_per_100_inhabitants,covid_dummy,gfc_dummy,event_note
1,Japan,2005,6728,12.4,1843,4500,,13,2,4831,37800,110.2,99.8,2.78,1480,17.4,0,0,APEC Korea / Aichi Expo Japan
1,Japan,2006,7334,12,1636,4700,,13,4,4601,36000,116.3,100.1,-6.51,1510,20.2,0,0,
1,Japan,2007,8347,11.3,1354,4900,,14,6,4579,35800,117.8,100.2,22.55,1540,22.1,0,0,
1,Japan,2008,8351,12.1,1449,5100,,14,9,5106,39900,103.4,101.6,24.55,1570,23.7,0,1,Global Financial Crisis begins
1,Japan,2009,6790,11.6,1708,4200,,14,11,5290,41400,93.6,100.2,11.94,1590,24.9,0,1,GFC continued / Swine flu
1,Japan,2010,8611,13.4,1556,4800,,14,13,5759,44500,87.8,100,-1.25,1610,26.4,0,0,G-20 Seoul Summit
1,Japan,2011,6219,11.1,1785,4600,,16,15,6233,48800,79.8,99.7,-1.76,1640,27,0,0,Great East Japan Earthquake (March 2011)
1,Japan,2012,8358,14.6,1747,4900,,16,16,6272,49100,79.8,99.7,1.73,1670,27.7,0,0,Lee Myung-bak Dokdo visit / Japan-Korea tensions
1,Japan,2013,10364,15.1,1457,5300,,17,18,5212,40900,97.6,100.1,2.3,1700,28.2,0,0,Visit Japan campaign intensifies (Abe)
1,Japan,2014,13413,18.9,1409,5500,,18,19,4897,38500,105.9,102.8,9.07,1740,29,0,0,Korea: ferry Sewol disaster
1,Japan,2015,19737,25,1267,5800,,19,21,4444,35000,121,103.6,5.25,1790,30.5,0,0,MERS outbreak Korea (May-July)
1,Japan,2016,24039,30.7,1277,6100,,20,21,5003,39400,108.8,103.8,17.45,1850,31.5,0,0,THAAD deployment announced
1,Japan,2017,28691,34.1,1189,6500,,21,21,4931,38900,112.2,104.3,9.39,1920,32.1,0,0,China tour ban Korea (THAAD effect)
1,Japan,2018,31192,41.1,1318,6800,,22,22,5037,39800,110.4,105.4,9.86,2000,32.6,0,0,PyeongChang Winter Olympics Korea
1,Japan,2019,31882,49.4,1549,6900,,23,22,5118,40500,109,106,14.55,2070,33.1,0,0,Japan-Korea trade dispute
